time,temperature,humidity
1575001694.622903,8.00,62.00
1575001695.647319,8.00,62.00
1575001696.708021,8.00,62.00
1575001697.735867,8.00,63.00
1575001698.797049,8.00,63.00
1575001699.820925,8.00,63.00
1575001700.881808,8.00,63.00
1575001701.909828,8.00,63.00
1575001702.969812,8.00,63.00
1575001703.994771,8.00,63.00
1575001705.055773,8.00,63.00
1575001706.079313,8.00,63.00
1575001707.142827,8.00,63.00
1575001708.168848,8.00,63.00
1575001709.229118,8.00,63.00
1575001710.252716,8.00,63.00
1575001711.313286,8.00,63.00
1575001712.341199,8.00,63.00
1575001713.40217,8.00,63.00
1575001714.425978,8.00,63.00
1575001715.486856,8.00,63.00
1575001716.514354,8.00,63.00
1575001717.575745,8.00,63.00
1575001718.599729,8.00,63.00
1575001719.660176,8.00,63.00
1575001720.687722,8.00,63.00
1575001721.749063,8.00,63.00
1575001722.772845,8.00,63.00
1575001723.833592,8.00,63.00
1575001724.861552,8.00,63.00
1575001725.921191,8.00,63.00
1575001726.946766,8.00,63.00
1575001728.007682,8.00,63.00
1575001729.034142,8.00,63.00
1575001730.095,8.00,63.00
1575001731.120425,8.00,63.00
1575001732.180092,8.00,63.00
1575001733.204805,8.00,64.00
1575001734.26873,8.00,64.00
1575001735.292437,8.00,64.00
1575001736.353292,8.00,64.00
1575001737.379122,8.00,64.00
1575001738.439251,8.00,64.00
1575001739.466852,8.00,64.00
1575001740.526369,8.00,64.00
1575001741.551884,8.00,64.00
1575001742.611712,8.00,64.00
1575001743.639389,8.00,64.00
1575001744.700342,8.00,64.00
1575001745.72416,8.00,64.00
1575001746.784925,8.00,64.00
1575001747.810123,8.00,64.00
1575001748.870824,8.00,64.00
1575001749.898891,8.00,64.00
1575001750.958725,8.00,64.00
1575001751.983451,8.00,64.00
1575001753.044316,8.00,64.00
1575001754.070795,8.00,64.00
1575001755.131803,8.00,64.00
1575001756.156137,8.00,64.00
1575001757.216857,8.00,64.00
1575001758.241563,8.00,64.00
1575001759.302171,8.00,64.00
1575001760.330076,8.00,64.00
1575001761.389611,8.00,64.00
1575001762.414984,8.00,64.00
